id,item_id,price_per_unit,start_date,end_date
1,1,9,4/1/2025,
2,2,8.62,4/1/2025,
3,3,0,4/1/2025,
4,4,14,4/1/2025,
5,5,20,4/1/2025,
6,6,1772.08,4/1/2025,
7,7,8,4/1/2025,
8,8,5303.44,4/1/2025,
9,9,5,4/1/2025,
10,10,21,4/1/2025,
11,11,2293.76,4/1/2025,
12,12,19,4/1/2025,
13,13,29,4/1/2025,
14,14,22,4/1/2025,
15,15,18,4/1/2025,
16,16,4,4/1/2025,
17,17,5,4/1/2025,
18,18,37,4/1/2025,
19,19,64,4/1/2025,
20,20,43,4/1/2025,
21,21,5.6,4/1/2025,
22,22,26,4/1/2025,
23,23,19,4/1/2025,
24,24,11,4/1/2025,
25,25,18.67,4/1/2025,
26,26,78,4/1/2025,
27,27,21.39,4/1/2025,
28,28,14,4/1/2025,
29,29,563,4/1/2025,
30,30,24.77,4/1/2025,
31,31,14,4/1/2025,
32,32,24,4/1/2025,
33,33,24,4/1/2025,
34,34,6.7,4/1/2025,
35,35,4,4/1/2025,
36,36,12,4/1/2025,
37,37,12,4/1/2025,
38,38,12,4/1/2025,
39,39,22,4/1/2025,
40,40,6,4/1/2025,
41,41,22,4/1/2025,
42,42,33,4/1/2025,
43,43,14,4/1/2025,
44,44,9.61,4/1/2025,
45,45,16,4/1/2025,
46,46,11.73,4/1/2025,
47,47,10,4/1/2025,
48,48,27,4/1/2025,
49,49,12,4/1/2025,
50,50,27,4/1/2025,
51,51,1100,4/1/2025,
52,52,1600,4/1/2025,
53,53,25,4/1/2025,
54,54,11,4/1/2025,
55,55,40,4/1/2025,
56,56,18.68,4/1/2025,
57,57,11.1,4/1/2025,
58,58,6,4/1/2025,
59,59,7.5,4/1/2025,
60,60,10,4/1/2025,
61,61,14,4/1/2025,
62,62,27,4/1/2025,
63,63,23.73,4/1/2025,
64,64,43,4/1/2025,
65,65,78,4/1/2025,
66,66,3,4/1/2025,
67,67,15.24,4/1/2025,
68,68,8,4/1/2025,
69,69,14,4/1/2025,
70,70,15,4/1/2025,
71,71,36,4/1/2025,
72,72,28,4/1/2025,
73,73,125,4/1/2025,
74,74,14,4/1/2025,
75,75,7,4/1/2025,
76,76,3,4/1/2025,
77,77,12.65,4/1/2025,
78,78,4,4/1/2025,
79,79,9,4/1/2025,
80,80,4,4/1/2025,
81,81,4,4/1/2025,
